date, package, version, count 
2022-11-24, @itwin/itwinui-css, ^0.53.2, 13 
2022-11-24, @itwin/itwinui-css, ^0.63.1, 3 
2022-11-24, @itwin/itwinui-css, ^0.53.3, 2 
2022-11-24, @itwin/itwinui-css, ^0.20.2, 2 
2022-11-24, @itwin/itwinui-css, ^0.33.1, 2 
2022-11-24, @itwin/itwinui-css, ^0.24.2, 2 
2022-11-24, @itwin/itwinui-css, 0.59.1, 3 
2022-11-24, @itwin/itwinui-css, ^0.16.0, 4 
2022-11-24, @itwin/itwinui-css, 0.63.0, 1 
2022-11-24, @itwin/itwinui-css, 0.44.0, 1 
2022-11-24, @itwin/itwinui-css, 0.55.0, 1 
2022-11-24, @itwin/itwinui-css, ^0.61.0, 3 
2022-11-24, @itwin/itwinui-css, ^0.27.2, 1 
2022-11-24, @itwin/itwinui-css, 0.54.0, 2 
2022-11-24, @itwin/itwinui-css, 0.32.0, 1 
2022-11-24, @itwin/itwinui-css, ^0.42.0, 1 
2022-11-24, @itwin/itwinui-css, ^0.39.1, 1 
2022-11-24, @itwin/itwinui-css, ^0.44.1, 2 
2022-11-24, @itwin/itwinui-css, ^0.60.0, 3 
2022-11-24, @itwin/itwinui-css, ^0.54.1, 1 
2022-11-24, @itwin/itwinui-css, ^0.38.0, 1 
2022-11-24, @itwin/itwinui-css, ^0.40.0, 1 
2022-11-24, @itwin/itwinui-css, ^0.30.0, 1 
2022-11-24, @itwin/itwinui-css, 0.x, 13 
2022-11-24, @itwin/itwinui-css, ^0.55.0, 1 
2022-11-24, @itwin/itwinui-css, 0.61.0, 3 
2022-11-24, @itwin/itwinui-css, ^0.57.0, 1 
2022-11-24, @itwin/itwinui-css, ~0.22.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.53.2, 3 
2022-12-05, @itwin/itwinui-css, ^0.63.1, 3 
2022-12-05, @itwin/itwinui-css, ^0.53.3, 1 
2022-12-05, @itwin/itwinui-css, ^0.20.2, 2 
2022-12-05, @itwin/itwinui-css, ^0.33.1, 2 
2022-12-05, @itwin/itwinui-css, ^0.24.2, 2 
2022-12-05, @itwin/itwinui-css, 0.59.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.16.0, 2 
2022-12-05, @itwin/itwinui-css, 0.63.0, 1 
2022-12-05, @itwin/itwinui-css, 0.44.0, 1 
2022-12-05, @itwin/itwinui-css, 0.63.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.61.0, 2 
2022-12-05, @itwin/itwinui-css, ^0.27.2, 1 
2022-12-05, @itwin/itwinui-css, 0.54.0, 1 
2022-12-05, @itwin/itwinui-css, 0.32.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.42.0, 1 
2022-12-05, @itwin/itwinui-css, ~1.0.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.39.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.44.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.60.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.54.1, 1 
2022-12-05, @itwin/itwinui-css, ^0.38.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.40.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.30.0, 1 
2022-12-05, @itwin/itwinui-css, 0.x, 1 
2022-12-05, @itwin/itwinui-css, ^0.55.0, 1 
2022-12-05, @itwin/itwinui-css, 0.61.0, 1 
2022-12-05, @itwin/itwinui-css, ^0.57.0, 1 
2022-12-05, @itwin/itwinui-css, ~0.22.1, 1 
2023-01-03, @itwin/itwinui-css, 0.63.1, 6 
2023-01-03, @itwin/itwinui-css, 0.53.2, 1 
2023-01-03, @itwin/itwinui-css, 0.53.3, 3 
2023-01-03, @itwin/itwinui-css, 0.20.2, 2 
2023-01-03, @itwin/itwinui-css, 0.33.1, 2 
2023-01-03, @itwin/itwinui-css, 0.24.2, 2 
2023-01-03, @itwin/itwinui-css, 0.59.1, 1 
2023-01-03, @itwin/itwinui-css, 0.16.0, 2 
2023-01-03, @itwin/itwinui-css, 0.63.0, 1 
2023-01-03, @itwin/itwinui-css, 0.44.0, 1 
2023-01-03, @itwin/itwinui-css, 0.61.0, 2 
2023-01-03, @itwin/itwinui-css, 0.27.2, 1 
2023-01-03, @itwin/itwinui-css, 0.54.0, 1 
2023-01-03, @itwin/itwinui-css, 0.32.0, 1 
2023-01-03, @itwin/itwinui-css, 0.42.0, 1 
2023-01-03, @itwin/itwinui-css, 1.0.0, 1 
2023-01-03, @itwin/itwinui-css, 0.39.1, 1 
2023-01-03, @itwin/itwinui-css, 0.44.1, 1 
2023-01-03, @itwin/itwinui-css, 0.60.0, 1 
2023-01-03, @itwin/itwinui-css, 0.54.1, 1 
2023-01-03, @itwin/itwinui-css, 0.38.0, 1 
2023-01-03, @itwin/itwinui-css, 0.40.0, 1 
2023-01-03, @itwin/itwinui-css, 0.30.0, 1 
2023-01-03, @itwin/itwinui-css, 0.x, 1 
2023-01-03, @itwin/itwinui-css, 0.56.0, 1 
2023-01-03, @itwin/itwinui-css, 0.55.0, 1 
