date, package, version, count 
2022-11-24, @itwin/itwinui-layouts-react, ~0.1.2, 5 
2022-11-24, @itwin/itwinui-layouts-react, ^0.1.2, 1 
2022-11-24, @itwin/itwinui-layouts-react, ^0.1.3, 9 
2022-11-24, @itwin/itwinui-layouts-react, ~0.1.3, 1 
2022-11-24, @itwin/itwinui-layouts-react, 0.1.3, 2 
2022-12-05, @itwin/itwinui-layouts-react, ~0.1.2, 3 
2022-12-05, @itwin/itwinui-layouts-react, ^0.1.2, 1 
2022-12-05, @itwin/itwinui-layouts-react, ^0.1.3, 6 
2022-12-05, @itwin/itwinui-layouts-react, ~0.1.3, 1 
2022-12-05, @itwin/itwinui-layouts-react, 0.1.3, 2 
