date, package, version, count 
2022-11-24, @itwin/itwinui-react, 1.38.1, 8
2022-11-24, @itwin/itwinui-react, 1.22.0, 4
2022-11-24, @itwin/itwinui-react, 1.40.1, 5 
2022-11-24, @itwin/itwinui-react, 1.10.0, 2 
2022-11-24, @itwin/itwinui-react, 1.45.0, 17 
2022-11-24, @itwin/itwinui-react, 1.14.1, 1 
2022-11-24, @itwin/itwinui-react, 1.23.0, 2 
2022-11-24, @itwin/itwinui-react, 1.39.0, 11 
2022-11-24, @itwin/itwinui-react, 1.34.2, 1 
2022-11-24, @itwin/itwinui-react, 1.1.0, 1 
2022-11-24, @itwin/itwinui-react, 1.30.0, 5 
2022-11-24, @itwin/itwinui-react, 1.37.3, 17 
2022-11-24, @itwin/itwinui-react, 1.17.0, 1 
2022-11-24, @itwin/itwinui-react, 1.25.0, 4 
2022-11-24, @itwin/itwinui-react, 1.42.0, 6 
2022-11-24, @itwin/itwinui-react, 1.44.0, 3 
2022-11-24, @itwin/itwinui-react, 1.48.1, 11 
2022-11-24, @itwin/itwinui-react, 1.37.3, 5 
2022-11-24, @itwin/itwinui-react, 1.16.2, 2 
2022-11-24, @itwin/itwinui-react, 1.41.0, 5 
2022-11-24, @itwin/itwinui-react, 1.37.1, 4 
2022-11-24, @itwin/itwinui-react, 1.47.0, 2 
2022-11-24, @itwin/itwinui-react, 1.7.2, 2 
2022-11-24, @itwin/itwinui-react, 1.43.1, 1 
2022-11-24, @itwin/itwinui-react, 1.35.0, 4 
2022-11-24, @itwin/itwinui-react, 1.43.0, 3 
2022-11-24, @itwin/itwinui-react, 1.12.0, 2 
2022-11-24, @itwin/itwinui-react, 1.31.0, 1 
2022-11-24, @itwin/itwinui-react, 1.48.0, 3 
2022-11-24, @itwin/itwinui-react, 1.18.0, 1 
2022-11-24, @itwin/itwinui-react, 1.11.0, 5 
2022-11-24, @itwin/itwinui-react, 1.37.2, 1 
2022-11-24, @itwin/itwinui-react, 1.42.0, 10 
2022-11-24, @itwin/itwinui-react, 1.46.0, 3 
2022-11-24, @itwin/itwinui-react, 2.0.0, 1 
2022-11-24, @itwin/itwinui-react, 1.37.0, 1 
2022-11-24, @itwin/itwinui-react, 1.48.1, 2 
2022-11-24, @itwin/itwinui-react, 1.27.0, 2 
2022-11-24, @itwin/itwinui-react, 1.36.0, 15 
2022-11-24, @itwin/itwinui-react, 1.12.0, 1 
2022-11-24, @itwin/itwinui-react, ~1.42.0, 15 
2022-11-24, @itwin/itwinui-react, 1.5.0, 1 
2022-11-24, @itwin/itwinui-react, 1.46.0, 1 
2022-11-24, @itwin/itwinui-react, 1.34.0, 4 
2022-11-24, @itwin/itwinui-react, 1.24.0, 1 
2022-11-24, @itwin/itwinui-react, 1.33.0, 2 
2022-11-24, @itwin/itwinui-react, 1.7.1, 1 
2022-11-24, @itwin/itwinui-react, 1.23.2, 1 
2022-11-24, @itwin/itwinui-react, 1.20.0, 1 
2022-11-24, @itwin/itwinui-react, 1.26.1, 1 
2022-11-24, @itwin/itwinui-react, 1.44.0, 3 
2022-11-24, @itwin/itwinui-react, 1.28.0, 2 
2022-11-24, @itwin/itwinui-react, 1.29.3, 2 
2022-11-24, @itwin/itwinui-react, 1.15.0, 1 
2022-11-24, @itwin/itwinui-react, ~1.32.0, 1 
2022-12-05, @itwin/itwinui-react, 1.27.0, 1 
2022-12-05, @itwin/itwinui-react, 1.38.1, 4 
2022-12-05, @itwin/itwinui-react, 1.22.0, 2 
2022-12-05, @itwin/itwinui-react, 1.10.0, 1 
2022-12-05, @itwin/itwinui-react, 1.45.0, 10 
2022-12-05, @itwin/itwinui-react, 1.23.0, 2 
2022-12-05, @itwin/itwinui-react, 1.14.1, 1 
2022-12-05, @itwin/itwinui-react, 1.39.0, 5 
2022-12-05, @itwin/itwinui-react, 1.34.2, 1 
2022-12-05, @itwin/itwinui-react, 1.1.0, 1 
2022-12-05, @itwin/itwinui-react, 1.30.0, 4 
2022-12-05, @itwin/itwinui-react, 1.17.0, 1 
2022-12-05, @itwin/itwinui-react, 1.25.0, 3 
2022-12-05, @itwin/itwinui-react, 1.10.0, 1 
2022-12-05, @itwin/itwinui-react, 1.42.0, 5 
2022-12-05, @itwin/itwinui-react, 1.48.1, 7 
2022-12-05, @itwin/itwinui-react, 1.44.0, 2 
2022-12-05, @itwin/itwinui-react, 1.37.3, 2 
2022-12-05, @itwin/itwinui-react, 1.16.2, 2 
2022-12-05, @itwin/itwinui-react, 1.41.0, 4 
2022-12-05, @itwin/itwinui-react, 1.37.1, 3 
2022-12-05, @itwin/itwinui-react, 1.40.1, 4 
2022-12-05, @itwin/itwinui-react, 1.47.0, 2 
2022-12-05, @itwin/itwinui-react, 1.7.2, 2 
2022-12-05, @itwin/itwinui-react, 1.43.1, 1 
2022-12-05, @itwin/itwinui-react, 1.35.0, 3 
2022-12-05, @itwin/itwinui-react, 1.43.0, 1 
2022-12-05, @itwin/itwinui-react, 1.12.0, 2 
2022-12-05, @itwin/itwinui-react, 1.31.0, 1 
2022-12-05, @itwin/itwinui-react, 1.48.0, 2 
2022-12-05, @itwin/itwinui-react, 1.18.0, 1 
2022-12-05, @itwin/itwinui-react, 1.11.0, 4 
2022-12-05, @itwin/itwinui-react, 1.42.0, 4 
2022-12-05, @itwin/itwinui-react, 1.46.0, 1 
2022-12-05, @itwin/itwinui-react, 2.0.0, 2 
2022-12-05, @itwin/itwinui-react, 1.37.0, 1 
2022-12-05, @itwin/itwinui-react, 1.22.0, 1 
2022-12-05, @itwin/itwinui-react, 1.48.1, 2 
2022-12-05, @itwin/itwinui-react, 1.27.0, 1 
2022-12-05, @itwin/itwinui-react, 1.36.0, 4 
